Rank,City,Population
398,"Union Springs village, New York",1167
399,"Wurtsboro village, New York",1167
400,"Vernon village, New York",1164
401,"Kinderhook village, New York",1162
402,"Port Henry village, New York",1130
403,"Brownville village, New York",1121
404,"Bergen village, New York",1120
405,"Nassau village, New York",1119
406,"South Corning village, New York",1115
407,"East Hampton village, New York",1114
408,"Little Valley village, New York",1113
409,"Roslyn Harbor village, New York",1098
410,"Tivoli village, New York",1093
411,"Unadilla village, New York",1075
412,"Alexandria Bay village, New York",1063
413,"Champlain village, New York",1062
414,"Baxter Estates village, New York",1059
415,"Northville village, New York",1059
416,"Stamford village, New York",1056
417,"Delevan village, New York",1053
418,"Otisville village, New York",1052
419,"Celoron village, New York",1047
420,"Dexter village, New York",1047
421,"Plandome Heights village, New York",1023
422,"Elbridge village, New York",1020
423,"Naples village, New York",1011
424,"New Berlin village, New York",1002
425,"Quogue village, New York",1001
426,"Andover village, New York",1000
427,"Bolivar village, New York",998
428,"McGraw village, New York",998
429,"Hillburn village, New York",989
430,"Castile village, New York",975
431,"Portville village, New York",974
432,"Mill Neck village, New York",969
433,"Hancock village, New York",962
434,"Otego village, New York",959
435,"Waddington village, New York",958
436,"Russell Gardens village, New York",950
437,"Newark Valley village, New York",941
438,"Saddle Rock village, New York",940
439,"Poquott village, New York",939
440,"Cattaraugus village, New York",933
441,"Millerton village, New York",933
442,"Belmont village, New York",931
443,"Whitney Point village, New York",931
444,"Avoca village, New York",914
445,"Salem village, New York",912
446,"Old Field village, New York",906
447,"Windsor village, New York",892
448,"Plandome Manor village, New York",888
449,"Lake George village, New York",885
450,"Sylvan Beach village, New York",885
451,"North Haven village, New York",884
452,"Marathon village, New York",878
453,"Sodus Point village, New York",872
454,"Richmondville village, New York",867
455,"West Winfield village, New York",867
456,"Tully village, New York",863
457,"Schoharie village, New York",838
458,"Angelica village, New York",831
459,"Matinecock village, New York",827
460,"Earlville village, New York",817
461,"Chateaugay village, New York",816
462,"Arkport village, New York",815
463,"Theresa village, New York",813
464,"Cohocton village, New York",810
465,"Afton village, New York",809
466,"Candor village, New York",802
467,"Savona village, New York",801
468,"Woodridge village, New York",801
469,"Mayfield village, New York",800
470,"Lyndonville village, New York",797
471,"Copenhagen village, New York",796
472,"Belle Terre village, New York",783
473,"Fultonville village, New York",782
474,"Woodsburgh village, New York",779
475,"Fonda village, New York",759
476,"North Hornell village, New York",755
477,"Palatine Bridge village, New York",754
478,"Silver Springs village, New York",745
479,"Sandy Creek village, New York",735
480,"Heuvelton village, New York",734
481,"Cleveland village, New York",729
482,"Fair Haven village, New York",725
483,"Spencer village, New York",721
484,"Aurora village, New York",717
485,"Cape Vincent village, New York",717
486,"Corfu village, New York",714
487,"Oriskany Falls village, New York",697
488,"Sherman village, New York",693
489,"Rushville village, New York",672
490,"Port Leyden village, New York",664
491,"Antwerp village, New York",663
492,"Forestville village, New York",663
493,"Elba village, New York",655
494,"Asharoken village, New York",648
495,"Hammondsport village, New York",638
496,"Oneida Castle village, New York",632
497,"Round Lake village, New York",625
498,"Nelsonville village, New York",623
499,"Ovid village, New York",620
500,"Harrisville village, New York",619
501,"Interlaken village, New York",619
502,"Newport village, New York",614
503,"Cassadaga village, New York",611
504,"Croghan village, New York",607
505,"Tuxedo Park village, New York",601
506,"Chaumont village, New York",598
507,"South Dayton village, New York",592
508,"Unionville village, New York",589
509,"Schaghticoke village, New York",587
510,"Victory village, New York",580
511,"Evans Mills village, New York",577
512,"Nelliston village, New York",570
513,"East Nassau village, New York",567
514,"Odessa village, New York",565
515,"Margaretville village, New York",562
516,"Lyons Falls village, New York",561
517,"Sinclairville village, New York",558
518,"Morris village, New York",557
519,"Lacona village, New York",554
520,"Wellsburg village, New York",548
521,"Hannibal village, New York",531
522,"Shoreham village, New York",531
523,"Sharon Springs village, New York",530
524,"Wampsville village, New York",529
525,"DeRuyter village, New York",528
526,"Cayuga village, New York",522
527,"Canaseraga village, New York",519
528,"Cato village, New York",519
529,"Freeville village, New York",516
530,"Tannersville village, New York",512
531,"Van Etten village, New York",512
532,"Barker village, New York",510
533,"Red Creek village, New York",503
534,"Alexander village, New York",499
535,"Middleville village, New York",498
536,"Cherry Valley village, New York",497
537,"Remsen village, New York",497
538,"Poland village, New York",496
539,"Glen Park village, New York",491
540,"Riverside village, New York",482
541,"Hewlett Neck village, New York",480
542,"Hunter village, New York",480
543,"Nichols village, New York",476
544,"Fort Ann village, New York",470
545,"Fort Johnson village, New York",464
546,"Munnsville village, New York",462
547,"Valley Falls village, New York",455
548,"Holland Patent village, New York",451
549,"Leicester village, New York",451
550,"Panama village, New York",450
551,"Almond village, New York",441
552,"Cherry Creek village, New York",440
553,"Brushton village, New York",439
554,"Richburg village, New York",438
555,"Hewlett Bay Park village, New York",437
556,"Parish village, New York",436
557,"Wyoming village, New York",428
558,"Bloomingburg village, New York",408
559,"Centre Island village, New York",408
560,"Hermon village, New York",405
561,"Hobart village, New York",403
562,"Milford village, New York",396
563,"Ellicottville village, New York",388
564,"Morristown village, New York",382
565,"Delanson village, New York",379
566,"Gilbertsville village, New York",372
567,"Farnham village, New York",369
568,"Bemus Point village, New York",355
569,"Castorland village, New York",347
570,"Mannsville village, New York",347
571,"Fabius village, New York",346
572,"Franklin village, New York",344
573,"Clayville village, New York",337
574,"Esperance village, New York",337
575,"Jeffersonville village, New York",336
576,"Fleischmanns village, New York",325
577,"Sagaponack village, New York",324
578,"Burdett village, New York",320
579,"Cold Brook village, New York",320
580,"Rensselaer Falls village, New York",318
581,"Richville village, New York",316
582,"Cove Neck village, New York",308
583,"Lisle village, New York",307
584,"Speculator village, New York",302
585,"Meridian village, New York",301
586,"Grand View-on-Hudson village, New York",300
587,"Dresden village, New York",296
588,"Madison village, New York",295
589,"Lodi village, New York",294
590,"Argyle village, New York",293
591,"Millport village, New York",291
592,"Deferiet village, New York",287
593,"Barneveld village, New York",281
594,"Hammond village, New York",272
595,"Laurens village, New York",250
596,"Constableville village, New York",239
597,"Ellisburg village, New York",239
598,"Turin village, New York",230
599,"Gainesville village, New York",224
600,"Smyrna village, New York",224
601,"Burke village, New York",201
602,"Galway village, New York",196
603,"Ames village, New York",142
604,"Herrings village, New York",86
605,"Ocean Beach village, New York",82
606,"West Hampton Dunes village, New York",58
607,"Saltaire village, New York",41
608,"Dering Harbor village, New York",11
